#{"t_start": 1741449684.657253, "env_id": "None"}
r,l,t
-1049.7233,297,10.828005
-1903.0642,300,11.128573
2508.4968,336,12.013685
-1571.6736,364,12.773161
1832.9146,404,18.408843
-3104.9731,439,19.243458
2600.447,854,21.25472
2752.7466,907,22.326525
2333.4954,636,23.479529
3836.0867,1001,24.140394
3129.0884,1001,24.140394
-2384.414,257,26.91663
-5373.549,846,27.810756
-1109.483,253,28.651343
-3322.0881,588,29.920263
1559.0311,205,30.763622
-3965.5679,673,31.071059
-2824.3826,476,32.317798
1456.0605,328,33.862753
-918.6916,267,34.886621
-1731.0657,263,36.833015
-2407.3,363,37.405494
-7667.4795,1001,39.47142
771.5348,402,41.794106
-9205.166,1001,42.098275
-1427.0592,165,42.594434
2555.5847,364,52.021558
-2975.8652,1001,54.8046
-3052.4106,552,55.537531
-1103.1074,336,56.749663
-6960.4985,1001,57.203312
3673.0322,1001,59.892909
-456.7152,470,60.18434
1099.0797,237,61.273334
5008.4517,852,64.956375
127.25721,532,65.739941
1551.6294,300,66.261988
1192.3291,1001,67.878006
-549.5818,186,68.55954
527.1788,900,70.587913
-6142.796,889,71.155511
-2729.2976,256,72.592548
-6933.4487,857,74.878225
-268.8499,426,75.952375
-1414.2526,1001,77.322077
-1273.8331,142,77.602853
-835.6192,716,78.802356
2390.232,444,80.495514
-4812.46,557,81.172066
189.54234,367,83.922743
-6445.17,1001,84.168383
1818.4175,367,84.435759
-1405.5201,1001,96.388976
2613.6782,432,96.771216
-2558.202,785,98.06158
1156.187,349,98.444988
-1648.0276,655,98.692249
-1164.1852,574,102.135794
-7163.801,941,104.643698
1915.9662,486,104.961511
-1240.4795,397,105.210111
-2789.7559,572,107.889202
-8908.738,987,109.296794
-3653.2866,591,112.075658
-7123.162,1001,113.621125
-7118.023,931,114.233522
744.69904,542,114.593464
-350.82654,583,115.399026
957.4935,236,116.653867
-3665.8784,582,118.225629
3712.1045,1001,122.222924
-1813.2775,728,126.678251
-1004.7362,663,127.136096
1900.6884,1001,127.136096
926.3037,638,129.790368
-4563.8735,864,130.246504
-7466.3276,781,131.161537
-1533.0225,209,131.441551
-7333.896,909,131.84971
-4930.0215,612,144.806097
2019.6992,430,146.34155
657.6793,253,146.81404
1172.2568,322,148.690403
1394.2839,556,152.236334
1177.3716,288,152.861442
1450.1174,885,155.968423
-6912.9194,765,157.7904
1103.056,653,158.660747
-9279.528,1001,161.224441
858.23413,474,161.68714
-959.07697,279,163.976732
1917.3899,475,165.362375
-7939.2397,1001,167.054603
-6682.9346,1001,168.574183
-2112.6443,317,171.389467
3408.9355,1001,172.275023
-2602.4336,228,172.893066
-2364.3745,336,173.641744
4041.3538,635,174.153071
-4213.5015,563,175.175899
1618.3347,928,176.291212
-2117.1057,236,176.701458
-6665.204,801,177.573338
-1618.7076,163,177.951915
2527.061,393,182.943559
380.6428,364,192.524831
2639.1711,376,192.524831
-2988.7205,653,193.350557
-1053.687,197,196.634958
-7444.3716,940,198.80934
2402.3198,390,199.551148
-4822.412,870,200.608235
-10425.844,1001,200.982741
-10262.76,1001,203.512114
-113.7871,338,205.741609
-2811.7776,394,208.363806
-7737.6055,868,209.146605
-415.97623,461,210.034859
-6398.9497,1001,210.33509
2606.945,307,211.905606
-6334.65,655,212.800591
-3675.7422,486,213.470307
-1001.7578,197,214.400712
2483.3813,880,214.684294
451.74893,343,217.239164
1553.0424,269,218.829708
-5469.8936,703,226.067806
-9157.388,1001,227.686656
306.26993,864,228.333118
-6903.885,1001,228.597568
-2592.3093,1001,240.786161
-4709.846,1001,241.066845
-1505.6909,410,241.790887
1570.5876,392,243.005355
582.6472,372,243.365857
-10462.185,1001,243.890239
-1427.3767,429,244.690651
-7195.5156,1001,245.600149
-1927.2523,290,246.861038
-1567.0913,222,247.769809
-2320.5598,295,248.011311
-2670.3796,355,254.502401
4421.2715,694,254.970729
-4393.676,590,256.002341
322.60812,415,256.875643
-4109.7017,540,257.262294
-5177.5977,909,264.63454
1995.7467,356,265.569593
-3315.4692,820,267.503057
-580.241,132,269.355648
-2642.656,1001,270.281071
-4530.004,510,272.171313
2438.449,346,276.815404
-794.19885,723,277.481184
613.5353,315,279.527922
2632.034,384,284.327887
18.817144,902,285.611471
221.5873,275,287.044837
-8599.109,959,288.346715
-2432.0461,552,288.992374
-3465.3088,890,305.160398
-2607.7073,392,305.924641
1005.1569,383,307.716714
-4405.8335,1001,318.12063
-3787.6348,1001,320.430002
-3783.5034,1001,325.916452
-7705.225,1001,328.164924
-6367.8794,1001,328.814811
-3567.834,422,331.810839
-4404.3164,463,335.510601
-7031.791,1001,337.416126
-2883.6677,346,337.752808
-4487.4756,998,338.467876
4506.6562,1001,340.372134
984.7865,196,344.211196
-253.4181,194,344.803134
1650.0327,491,345.156209
1080.4631,255,346.715405
1932.8324,437,347.021526
1592.8712,532,347.433315
305.02203,394,354.194702
-2720.091,339,358.167168
3184.7053,522,364.843012
2825.8752,515,365.099701
-1095.9113,588,365.410431
-2844.8184,305,369.072583
2138.5586,1001,370.542865
-5744.657,871,385.06605
-4450.297,907,386.179513
-3172.9246,364,387.391589
-2705.7695,379,388.092585
-964.07416,214,392.369353
-1578.5251,169,393.146432
-3803.8286,435,395.126055
2169.5183,616,396.099061
757.3288,1001,398.370834
-2397.9353,241,401.357784
-4468.248,717,403.434047
-1818.0948,463,408.733928
96.747086,484,412.103543
-1990.8662,327,413.089178
-2935.0962,330,415.024108
-6187.323,950,420.349843
1353.2195,1001,420.71743
-2875.8928,280,421.620582
52.251724,695,422.44841
-1089.7324,292,423.150337
1295.0269,874,426.087291
1510.3405,219,427.931898
-2548.8357,295,430.328824
-4592.9526,470,430.686622
-891.0307,368,433.667033
-371.01575,378,435.027842
1908.2025,310,436.180694
-2736.0847,275,437.159087
3536.334,888,439.090247
-1141.9343,226,442.054523
-1949.8086,226,444.981593
1909.7498,268,445.69844
-2236.754,400,449.314761
-2020.9343,308,462.168906
-2887.204,407,463.096193
-4398.8496,693,464.728454
-2439.3875,1001,466.651196
1359.2002,374,468.121789
1132.4266,187,469.078659
2577.7598,405,473.617654
2721.6978,1001,475.649153
-320.69626,151,478.526727
2636.5857,470,483.992844
4329.5947,1001,488.90882
1590.2838,389,490.742176
-804.3393,265,492.796432
-443.7033,1001,495.944908
-224.15327,215,496.371535
-6122.4795,1001,498.015598
127.084465,1001,499.981549
-6724.41,989,501.278441
-953.4206,214,503.587706
-6958.7935,924,505.946734
-4388.0273,502,507.719056
-1655.7311,170,509.345788
2523.8784,423,510.978596
2173.325,492,517.251314
1656.7596,603,518.143574
2623.866,605,520.104782
520.44055,357,523.113951
-8020.5024,903,524.086569
-4435.613,550,526.843478
2574.0325,590,529.463006
589.1191,552,548.342767
985.97217,471,549.207494
-8307.74,1001,549.614785
2172.0093,378,551.87145
-2201.3713,641,554.37658
-1891.1372,1001,560.903
-8703.001,1001,561.98939
-2699.8513,395,563.029681
173.30383,328,563.314341
-3753.8013,441,564.506736
869.6651,153,566.723272
-3782.366,1001,570.449662
-2009.8046,249,571.961145
1520.633,823,576.692908
1539.1516,380,577.469997
2414.7722,729,579.475651
-1304.2882,518,580.866288
1141.1788,421,585.3734
-3135.385,321,587.074203
3482.357,625,587.449229
-2358.711,272,589.718591
-1005.2055,154,590.873861
1505.2686,195,594.229489
-261.20007,535,595.511284
-4286.5513,1001,596.360813
-2460.7024,263,597.171462
1112.7603,265,603.000545
2889.1497,365,603.328042
-8376.567,1001,604.224146
-699.7187,436,604.740116
1851.0199,381,608.603821
-6253.379,890,609.219198
-2474.9224,332,629.079638
-4789.032,765,630.275906
-6761.1626,1001,637.883739
-2098.4514,287,638.610289
4784.0503,793,639.285893
2449.5735,1001,644.480427
-4121.8467,1001,644.789719
-1736.7766,1001,645.773464
-1923.8171,597,647.993442
1218.2013,263,647.993442
3698.396,1001,650.525331
1452.2485,211,651.951659
-3090.2158,323,655.291579
-1870.4094,259,656.588883
-4800.6606,527,662.829344
-4908.853,846,665.981135
-2250.3508,358,667.110391
-4291.0474,512,668.527376
-1337.2888,207,669.972723
-4933.9946,597,670.641433
-4486.775,1001,672.360253
1988.7904,85,673.912599
-5761.86,631,677.438519
1393.338,328,678.364998
-937.6112,270,679.277953
-11038.174,1001,681.283696
-1558.494,278,681.606006
-1480.8396,524,686.315422
-220.30743,242,686.626243
2778.0298,378,701.856433
-1782.8461,584,703.229065
2291.75,404,705.127572
-1266.1139,1001,709.78055
-4238.4917,569,715.1787
-5066.496,968,719.538668
1941.5798,519,720.171828
-4053.5918,1001,724.129393
1689.692,752,726.108833
353.48196,277,728.432611
-1046.736,1001,729.203419
-907.99915,289,729.576323
-1255.4124,764,730.007459
-4350.3687,685,732.403004
-1582.9268,182,736.235286
1437.21,233,737.005721
-6033.833,653,737.441345
527.1844,356,741.643721
-977.8765,222,744.238629
2001.7279,501,746.235176
-928.6485,300,746.571913
1298.3834,401,749.130216
-1889.4166,223,753.596932
-2844.4468,1001,756.901593
-849.81885,770,757.337301
-5970.5903,1001,759.387514
-1267.1228,579,760.381042
-4015.2625,562,774.688977
1488.4318,324,778.299243
-2920.4167,416,783.550888
317.22495,693,786.688554
2986.706,500,787.072818
-6625.4185,1001,787.574172
4850.7617,1001,792.251842
-3302.927,341,794.865376
2084.8354,411,800.822078
489.04163,1001,801.086542
3332.8025,1001,807.491883
-2246.4502,694,809.396518
-1564.1471,282,809.899583
2376.9292,315,811.2837
-6290.103,1001,811.605945
-1716.2693,1001,819.38663
-247.78802,1001,824.545766
817.3027,190,825.433733
-3610.9534,497,825.789523
-2418.2395,464,826.489291
1024.2441,602,827.502351
-7953.826,1001,827.816925
-2790.0337,516,828.566388
-1585.8125,195,832.648797
-535.86536,240,835.815617
-4433.642,972,853.278021
-5031.1753,561,855.812785
3498.6548,640,858.798998
-3949.134,434,861.025937
857.62933,245,861.453648
-4729.052,615,863.528161
747.37836,814,865.396026
-2797.404,1001,869.046093
1040.6005,1001,871.953068
-1804.9727,462,873.868064
2628.2236,367,880.387019
-3825.0715,647,881.427241
-2676.4983,536,882.399225
-8232.436,847,882.984142
688.5355,426,885.584065
-6442.238,711,886.67065
1734.5516,332,892.654863
-4099.873,1001,893.703678
-3400.7048,331,896.330259
-3986.3303,513,897.816864
102.58132,804,899.869836
339.74426,590,901.835535
-98.36635,331,904.463596
3227.1853,459,907.646141
-2999.8728,380,914.296463
-2108.3271,1001,915.877954
-1802.1249,1001,919.382986
-3946.6672,500,934.329267
-535.9347,273,936.701625
-1925.258,1001,937.38781
853.86755,171,937.708941
3472.5396,1001,938.351455
-301.5456,521,939.051287
-3776.6584,1001,939.754436
-5957.1655,1001,942.39031
2593.369,365,944.108903
2051.7036,343,944.445609
-617.39136,273,945.111617
-1689.5034,322,948.482505
3947.497,1001,949.090919
-2403.8801,326,950.929645
3088.2322,612,958.967846
-2863.6606,1001,961.00088
-7563.4033,1001,962.087911
-4291.7305,480,962.484394
-5899.014,1001,963.33607
-667.92194,661,969.822102
-7236.8765,1001,971.124339
-2591.7502,471,972.704898
4218.761,1001,978.245512
-2409.3135,357,994.538181
1559.565,1001,1001.518179
-3488.436,1001,1002.429408
-2789.0063,1001,1002.800217
-4167.842,477,1003.833155
4859.5366,1001,1003.833155
-1681.6808,749,1004.372248
1835.5555,314,1004.773547
-6419.3975,1001,1013.848368
2730.832,499,1019.647043
-3889.6885,753,1025.990307
158.77255,295,1029.36731
-5236.6274,901,1033.406289
3957.5027,1001,1035.166155
2710.6726,1001,1035.598695
2372.145,1001,1036.433855
-541.7935,1001,1037.035558
-2454.929,349,1038.20501
1651.3076,279,1043.050272
4103.033,1001,1046.472728
2661.4617,545,1047.603734
263.04147,363,1048.82934
1394.8053,503,1054.237991
-3635.8545,585,1054.641506
-4477.9517,488,1058.798441
-796.78314,1001,1077.716881
-5382.1943,1001,1078.698554
-1601.885,354,1080.314185
-7939.8,1001,1088.496207
1548.5212,343,1088.99978
-2325.8787,1001,1089.696957
-8871.579,1001,1091.198094
1901.8688,383,1092.876846
3914.1196,1001,1096.791768
2990.938,1001,1097.192079
-3309.3613,543,1106.35937
2179.6548,370,1108.156303
-4031.851,566,1109.088952
3304.6462,1001,1111.20505
-1145.8777,185,1112.852099
-1908.8434,252,1116.632044
-5922.2144,801,1118.532951
-3080.428,359,1121.045705
500.37195,1001,1121.461653
-642.86,1001,1122.51532
-2845.645,311,1123.369696
1029.0426,183,1127.682582
2895.5347,1001,1129.81602
2503.205,432,1133.182457
-1997.0049,357,1135.292479
-1414.451,209,1136.959093
3447.7463,1001,1154.506897
-2431.1816,347,1156.533842
-4294.4478,1001,1160.077952
-1611.4419,217,1163.761446
-4155.1665,1001,1164.597826
-3996.0825,1001,1166.123204
-2952.264,1001,1171.28655
-8418.926,844,1174.699945
-838.727,1001,1176.344667
-838.2698,374,1177.118303
